Notes,County,County Code,Education,Education Code,Single/Multi Race 31,Single/Multi Race 31 Code,Cause of death,Cause of death Code,Sex,Sex Code,Deaths
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,21
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,16
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,12
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,11
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,40
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Congestive heart failure,I50.0,Female,F,10
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Congestive heart failure,I50.0,Male,M,21
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,12
NA,"Barnstable County, MA",25001,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,13
NA,"Barnstable County, MA",25001,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Unspecified dementia,F03,Male,M,15
NA,"Barnstable County, MA",25001,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Parkinson disease,G20,Male,M,16
NA,"Barnstable County, MA",25001,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,17
NA,"Barnstable County, MA",25001,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,White (only),1,Congestive heart failure,I50.0,Male,M,11
NA,"Berkshire County, MA",25003,8th grade or less,1,White (only),1,Unspecified dementia,F03,Female,F,13
NA,"Berkshire County, MA",25003,9th through 12th grade with no diploma,2,White (only),1,Unspecified dementia,F03,Female,F,17
NA,"Berkshire County, MA",25003,9th through 12th grade with no diploma,2,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,10
NA,"Berkshire County, MA",25003,9th through 12th grade with no diploma,2,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,14
NA,"Berkshire County, MA",25003,9th through 12th grade with no diploma,2,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,11
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,Male,M,11
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Hyperlipidaemia, unspecified",E78.5,Female,F,11
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Vascular dementia, unspecified",F01.9,Female,F,14
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Female,F,124
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Unspecified dementia,F03,Male,M,53
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Parkinson disease,G20,Female,F,13
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,33
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,17
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Essential (primary) hypertension,I10,Female,F,19
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Hypertensive heart disease with (congestive) heart failure,I11.0,Female,F,13
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,15
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,32
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,24
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,46
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,55
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Aortic (valve) stenosis,I35.0,Female,F,17
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Aortic (valve) stenosis,I35.0,Male,M,12
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Atrial fibrillation and flutter,I48,Female,F,20
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Atrial fibrillation and flutter,I48,Male,M,15
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Cardiac arrhythmia, unspecified",I49.9,Female,F,14
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Cardiac arrhythmia, unspecified",I49.9,Male,M,28
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Female,F,40
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Congestive heart failure,I50.0,Male,M,23
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Heart failure, unspecified",I50.9,Female,F,11
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Heart failure, unspecified",I50.9,Male,M,10
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,26
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Male,M,16
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,18
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,55
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,38
NA,"Berkshire County, MA",25003,High school graduate or GED completed,3,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,16
NA,"Berkshire County, MA",25003,"Some college credit, but not a degree.",4,White (only),1,Unspecified dementia,F03,Female,F,13
NA,"Berkshire County, MA",25003,"Some college credit, but not a degree.",4,White (only),1,Unspecified dementia,F03,Male,M,11
NA,"Berkshire County, MA",25003,"Some college credit, but not a degree.",4,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,10
NA,"Berkshire County, MA",25003,"Some college credit, but not a degree.",4,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,15
NA,"Berkshire County, MA",25003,"Associate degree (AA,AS)",5,White (only),1,Unspecified dementia,F03,Female,F,21
NA,"Berkshire County, MA",25003,"Associate degree (AA,AS)",5,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,10
NA,"Berkshire County, MA",25003,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Unspecified dementia,F03,Female,F,37
NA,"Berkshire County, MA",25003,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Unspecified dementia,F03,Male,M,21
NA,"Berkshire County, MA",25003,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,21
NA,"Berkshire County, MA",25003,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,16
NA,"Berkshire County, MA",25003,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,"Cardiac arrhythmia, unspecified",I49.9,Male,M,12
NA,"Berkshire County, MA",25003,"Bachelor?s degree (BA, AB, BS)",6,White (only),1,Congestive heart failure,I50.0,Male,M,11
NA,"Berkshire County, MA",25003,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Unspecified dementia,F03,Female,F,12
NA,"Berkshire County, MA",25003,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Unspecified dementia,F03,Male,M,13
NA,"Berkshire County, MA",25003,"Master?s degree (MA, MS, MEng, MEd, MSW, MBA)",7,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,10
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,20
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,21
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Unspecified dementia,F03,Female,F,153
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Unspecified dementia,F03,Male,M,60
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Parkinson disease,G20,Male,M,18
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,58
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Alzheimer disease, unspecified",G30.9,Male,M,23
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Senile degeneration of brain, not elsewhere classified",G31.1,Female,F,10
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Essential (primary) hypertension,I10,Female,F,13
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,24
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,31
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,11
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,20
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,96
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,76
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Atrial fibrillation and flutter,I48,Female,F,25
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Atrial fibrillation and flutter,I48,Male,M,17
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Congestive heart failure,I50.0,Female,F,54
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Congestive heart failure,I50.0,Male,M,27
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Heart failure, unspecified",I50.9,Female,F,10
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Heart failure, unspecified",I50.9,Male,M,12
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Female,F,30
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Stroke, not specified as haemorrhage or infarction",I64,Male,M,16
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Pneumonia, unspecified",J18.9,Female,F,22
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Pneumonia, unspecified",J18.9,Male,M,19
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Female,F,39
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,"Chronic obstructive pulmonary disease, unspecified",J44.9,Male,M,58
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Pneumonitis due to food and vomit,J69.0,Female,F,29
NA,"Bristol County, MA",25005,8th grade or less,1,White (only),1,Pneumonitis due to food and vomit,J69.0,Male,M,27
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Female,F,11
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Unspecified diabetes mellitus, without complications",E14.9,Male,M,12
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,Unspecified dementia,F03,Female,F,97
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,Unspecified dementia,F03,Male,M,37
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Alzheimer disease, unspecified",G30.9,Female,F,42
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,Essential (primary) hypertension,I10,Female,F,11
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Female,F,20
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Acute myocardial infarction, unspecified",I21.9,Male,M,27
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Female,F,13
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Atherosclerotic cardiovascular disease, so described",I25.0,Male,M,31
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,Atherosclerotic heart disease,I25.1,Female,F,42
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,Atherosclerotic heart disease,I25.1,Male,M,61
NA,"Bristol County, MA",25005,9th through 12th grade with no diploma,2,White (only),1,"Cardiomyopathy, unspecified",I42.9,Male,M,10
