Notes,County,County Code,Cause of death,Cause of death Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,65-74 years,65-74,Male,M,14
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2022,2022,75-84 years,75-84,Male,M,11
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,55-64 years,55-64,Male,M,10
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,65-74 years,65-74,Male,M,14
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,75-84 years,75-84,Female,F,12
NA,"Barnstable County, MA",25001,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,75-84 years,75-84,Male,M,11
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,65-74 years,65-74,Male,M,15
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Female,F,10
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Male,M,20
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Female,F,30
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Male,M,35
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,65-74 years,65-74,Male,M,14
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,75-84 years,75-84,Female,F,11
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,75-84 years,75-84,Male,M,22
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Female,F,29
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Male,M,43
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,65-74 years,65-74,Male,M,10
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Female,F,14
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Male,M,25
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Female,F,31
NA,"Barnstable County, MA",25001,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Male,M,30
NA,"Barnstable County, MA",25001,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Female,F,10
NA,"Barnstable County, MA",25001,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Male,M,10
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2021,2021,85+ years,85+,Female,F,17
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Female,F,22
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Male,M,10
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2023,2023,85+ years,85+,Female,F,17
NA,"Barnstable County, MA",25001,Atrial fibrillation and flutter,I48,2023,2023,85+ years,85+,Male,M,10
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,75-84 years,75-84,Male,M,14
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Female,F,34
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Male,M,14
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,75-84 years,75-84,Male,M,17
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Female,F,41
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Male,M,23
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,75-84 years,75-84,Male,M,15
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Female,F,30
NA,"Barnstable County, MA",25001,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Male,M,33
NA,"Barnstable County, MA",25001,"Heart failure, unspecified",I50.9,2022,2022,85+ years,85+,Female,F,12
NA,"Barnstable County, MA",25001,"Heart failure, unspecified",I50.9,2022,2022,85+ years,85+,Male,M,13
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,75-84 years,75-84,Male,M,13
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Female,F,27
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Male,M,13
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,75-84 years,75-84,Male,M,10
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,85+ years,85+,Female,F,17
NA,"Barnstable County, MA",25001,"Stroke, not specified as haemorrhage or infarction",I64,2023,2023,85+ years,85+,Female,F,17
NA,"Barnstable County, MA",25001,Sequelae of other and unspecified cerebrovascular diseases,I69.8,2021,2021,85+ years,85+,Female,F,10
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2021,2021,85+ years,85+,Female,F,10
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2021,2021,85+ years,85+,Male,M,14
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2022,2022,85+ years,85+,Male,M,11
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2023,2023,85+ years,85+,Female,F,11
NA,"Barnstable County, MA",25001,"Pneumonia, unspecified",J18.9,2023,2023,85+ years,85+,Male,M,17
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,65-74 years,65-74,Female,F,10
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,65-74 years,65-74,Male,M,13
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,75-84 years,75-84,Female,F,14
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,85+ years,85+,Female,F,19
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,85+ years,85+,Male,M,14
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2022,2022,75-84 years,75-84,Female,F,20
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2022,2022,75-84 years,75-84,Male,M,10
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2022,2022,85+ years,85+,Female,F,22
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2022,2022,85+ years,85+,Male,M,15
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2023,2023,75-84 years,75-84,Female,F,15
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2023,2023,85+ years,85+,Female,F,27
NA,"Barnstable County, MA",25001,"Chronic obstructive pulmonary disease, unspecified",J44.9,2023,2023,85+ years,85+,Male,M,15
NA,"Barnstable County, MA",25001,Pneumonitis due to food and vomit,J69.0,2021,2021,75-84 years,75-84,Male,M,13
NA,"Barnstable County, MA",25001,Pneumonitis due to food and vomit,J69.0,2021,2021,85+ years,85+,Male,M,22
NA,"Barnstable County, MA",25001,Pneumonitis due to food and vomit,J69.0,2022,2022,85+ years,85+,Male,M,19
NA,"Barnstable County, MA",25001,Pneumonitis due to food and vomit,J69.0,2023,2023,85+ years,85+,Female,F,13
NA,"Barnstable County, MA",25001,Other interstitial pulmonary diseases with fibrosis,J84.1,2022,2022,75-84 years,75-84,Male,M,12
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Female,F,14
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Male,M,11
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2021,2021,85+ years,85+,Female,F,66
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2021,2021,85+ years,85+,Male,M,21
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2022,2022,75-84 years,75-84,Male,M,12
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2022,2022,85+ years,85+,Female,F,60
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2022,2022,85+ years,85+,Male,M,28
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Female,F,18
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Male,M,12
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2023,2023,85+ years,85+,Female,F,68
NA,"Berkshire County, MA",25003,Unspecified dementia,F03,2023,2023,85+ years,85+,Male,M,30
NA,"Berkshire County, MA",25003,"Alzheimer disease, unspecified",G30.9,2021,2021,85+ years,85+,Female,F,17
NA,"Berkshire County, MA",25003,"Alzheimer disease, unspecified",G30.9,2022,2022,85+ years,85+,Female,F,21
NA,"Berkshire County, MA",25003,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Female,F,21
NA,"Berkshire County, MA",25003,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Male,M,11
NA,"Berkshire County, MA",25003,"Acute myocardial infarction, unspecified",I21.9,2021,2021,55-64 years,55-64,Male,M,10
NA,"Berkshire County, MA",25003,"Atherosclerotic cardiovascular disease, so described",I25.0,2023,2023,65-74 years,65-74,Male,M,11
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Female,F,10
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,75-84 years,75-84,Male,M,16
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Female,F,15
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2021,2021,85+ years,85+,Male,M,21
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Female,F,17
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2022,2022,85+ years,85+,Male,M,14
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2023,2023,75-84 years,75-84,Male,M,14
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Female,F,16
NA,"Berkshire County, MA",25003,Atherosclerotic heart disease,I25.1,2023,2023,85+ years,85+,Male,M,16
NA,"Berkshire County, MA",25003,Aortic (valve) stenosis,I35.0,2021,2021,85+ years,85+,Female,F,10
NA,"Berkshire County, MA",25003,Aortic (valve) stenosis,I35.0,2022,2022,85+ years,85+,Female,F,10
NA,"Berkshire County, MA",25003,Aortic (valve) stenosis,I35.0,2023,2023,85+ years,85+,Female,F,10
NA,"Berkshire County, MA",25003,Atrial fibrillation and flutter,I48,2021,2021,85+ years,85+,Female,F,12
NA,"Berkshire County, MA",25003,Atrial fibrillation and flutter,I48,2022,2022,85+ years,85+,Female,F,13
NA,"Berkshire County, MA",25003,"Cardiac arrhythmia, unspecified",I49.9,2022,2022,65-74 years,65-74,Male,M,12
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Female,F,13
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2021,2021,85+ years,85+,Male,M,14
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2022,2022,85+ years,85+,Female,F,20
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Female,F,14
NA,"Berkshire County, MA",25003,Congestive heart failure,I50.0,2023,2023,85+ years,85+,Male,M,14
NA,"Berkshire County, MA",25003,"Stroke, not specified as haemorrhage or infarction",I64,2021,2021,85+ years,85+,Female,F,19
NA,"Berkshire County, MA",25003,"Stroke, not specified as haemorrhage or infarction",I64,2022,2022,85+ years,85+,Female,F,14
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,65-74 years,65-74,Female,F,11
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,65-74 years,65-74,Male,M,10
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2021,2021,75-84 years,75-84,Male,M,13
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2022,2022,65-74 years,65-74,Female,F,10
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2022,2022,65-74 years,65-74,Male,M,13
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2022,2022,75-84 years,75-84,Female,F,17
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2023,2023,65-74 years,65-74,Female,F,11
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2023,2023,75-84 years,75-84,Female,F,10
NA,"Berkshire County, MA",25003,"Chronic obstructive pulmonary disease, unspecified",J44.9,2023,2023,85+ years,85+,Female,F,17
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2021,2021,65-74 years,65-74,Male,M,12
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2021,2021,75-84 years,75-84,Male,M,10
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2021,2021,85+ years,85+,Male,M,10
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,55-64 years,55-64,Male,M,10
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,65-74 years,65-74,Male,M,13
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,75-84 years,75-84,Male,M,10
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2022,2022,85+ years,85+,Female,F,11
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2023,2023,65-74 years,65-74,Male,M,10
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2023,2023,75-84 years,75-84,Male,M,11
NA,"Bristol County, MA",25005,"Unspecified diabetes mellitus, without complications",E14.9,2023,2023,85+ years,85+,Female,F,10
NA,"Bristol County, MA",25005,"Metabolic disorder, unspecified",E88.9,2023,2023,85+ years,85+,Female,F,10
NA,"Bristol County, MA",25005,"Vascular dementia, unspecified",F01.9,2022,2022,75-84 years,75-84,Male,M,10
NA,"Bristol County, MA",25005,"Vascular dementia, unspecified",F01.9,2022,2022,85+ years,85+,Female,F,15
NA,"Bristol County, MA",25005,"Vascular dementia, unspecified",F01.9,2023,2023,85+ years,85+,Female,F,10
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2021,2021,65-74 years,65-74,Female,F,10
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Female,F,43
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2021,2021,75-84 years,75-84,Male,M,39
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2021,2021,85+ years,85+,Female,F,172
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2021,2021,85+ years,85+,Male,M,55
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2022,2022,65-74 years,65-74,Female,F,21
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2022,2022,75-84 years,75-84,Female,F,57
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2022,2022,75-84 years,75-84,Male,M,29
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2022,2022,85+ years,85+,Female,F,192
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2022,2022,85+ years,85+,Male,M,58
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2023,2023,65-74 years,65-74,Female,F,13
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2023,2023,65-74 years,65-74,Male,M,11
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Female,F,38
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2023,2023,75-84 years,75-84,Male,M,42
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2023,2023,85+ years,85+,Female,F,172
NA,"Bristol County, MA",25005,Unspecified dementia,F03,2023,2023,85+ years,85+,Male,M,54
NA,"Bristol County, MA",25005,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,2021,2021,55-64 years,55-64,Male,M,10
NA,"Bristol County, MA",25005,Parkinson disease,G20,2021,2021,75-84 years,75-84,Male,M,14
NA,"Bristol County, MA",25005,Parkinson disease,G20,2022,2022,75-84 years,75-84,Male,M,21
NA,"Bristol County, MA",25005,Parkinson disease,G20,2022,2022,85+ years,85+,Male,M,11
NA,"Bristol County, MA",25005,Parkinson disease,G20,2023,2023,75-84 years,75-84,Male,M,17
NA,"Bristol County, MA",25005,Parkinson disease,G20,2023,2023,85+ years,85+,Male,M,16
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2021,2021,75-84 years,75-84,Female,F,16
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2021,2021,75-84 years,75-84,Male,M,15
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2021,2021,85+ years,85+,Female,F,74
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2021,2021,85+ years,85+,Male,M,22
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2022,2022,75-84 years,75-84,Female,F,30
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2022,2022,75-84 years,75-84,Male,M,11
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2022,2022,85+ years,85+,Female,F,70
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2022,2022,85+ years,85+,Male,M,20
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2023,2023,75-84 years,75-84,Female,F,29
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2023,2023,75-84 years,75-84,Male,M,15
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Female,F,80
NA,"Bristol County, MA",25005,"Alzheimer disease, unspecified",G30.9,2023,2023,85+ years,85+,Male,M,17
NA,"Bristol County, MA",25005,"Senile degeneration of brain, not elsewhere classified",G31.1,2023,2023,85+ years,85+,Female,F,14
NA,"Bristol County, MA",25005,"Senile degeneration of brain, not elsewhere classified",G31.1,2023,2023,85+ years,85+,Male,M,11
NA,"Bristol County, MA",25005,Essential (primary) hypertension,I10,2021,2021,85+ years,85+,Female,F,17
NA,"Bristol County, MA",25005,Essential (primary) hypertension,I10,2022,2022,85+ years,85+,Female,F,14
NA,"Bristol County, MA",25005,Essential (primary) hypertension,I10,2023,2023,85+ years,85+,Female,F,17
NA,"Bristol County, MA",25005,Hypertensive heart disease with (congestive) heart failure,I11.0,2022,2022,85+ years,85+,Female,F,10
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,55-64 years,55-64,Male,M,15
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,65-74 years,65-74,Male,M,21
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,75-84 years,75-84,Female,F,13
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,75-84 years,75-84,Male,M,16
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Female,F,22
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2021,2021,85+ years,85+,Male,M,12
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,55-64 years,55-64,Female,F,10
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,55-64 years,55-64,Male,M,15
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,65-74 years,65-74,Male,M,21
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,75-84 years,75-84,Female,F,14
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,75-84 years,75-84,Male,M,27
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Female,F,17
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2022,2022,85+ years,85+,Male,M,15
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2023,2023,55-64 years,55-64,Male,M,14
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2023,2023,65-74 years,65-74,Female,F,12
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2023,2023,65-74 years,65-74,Male,M,23
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2023,2023,75-84 years,75-84,Female,F,12
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2023,2023,75-84 years,75-84,Male,M,27
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2023,2023,85+ years,85+,Female,F,19
NA,"Bristol County, MA",25005,"Acute myocardial infarction, unspecified",I21.9,2023,2023,85+ years,85+,Male,M,15
NA,"Bristol County, MA",25005,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,45-54 years,45-54,Male,M,11
NA,"Bristol County, MA",25005,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,55-64 years,55-64,Male,M,26
NA,"Bristol County, MA",25005,"Atherosclerotic cardiovascular disease, so described",I25.0,2021,2021,65-74 years,65-74,Male,M,21
